Sr.no,Trial.no,ppid,Distance,Grasp.size,Base.hole,Hand,Status,Object,RT,MT_to_obj,MT_obj_to_tar,Total_MT
1,1,1,30cm,small,large,Right,Done,A,2231,2025,4256,6281
2,2,1,30cm,large,small,Right,Done,B,1796,2430,4226,6656
3,3,1,30cm,small,small,Right,Done,C,1259,2342,3601,5943
4,4,1,30cm,large,large,Right,Done,D,1348,2831,4179,7010
5,5,1,30cm,small,large,Right,Done,A,1088,1730,2818,4548
6,6,1,30cm,large,small,Right,Done,B,1023,2227,3250,5477
7,7,1,30cm,small,small,Right,Done,C,1165,2024,3189,5213
8,8,1,30cm,large,large,Right,Done,D,1396,2029,3425,5454
9,9,1,30cm,small,large,Right,Done,A,1555,1627,3182,4809
10,10,1,30cm,large,small,Right,Done,B,1075,1824,2899,4723
11,11,1,30cm,large,small,Right,Done,B,996,1828,2824,4652
12,12,1,30cm,small,small,Right,Done,C,1195,2025,3220,5245
13,13,1,30cm,large,large,Right,Done,D,2025,2235,4260,6495
14,14,1,30cm,small,large,Right,Done,A,1103,1421,2524,3945
15,15,1,30cm,large,small,Right,Done,B,796,1823,2619,4442
16,16,1,30cm,small,small,Right,Done,C,706,1823,2529,4352
17,17,1,30cm,large,small,Right,Done,D,1100,3442,4542,7984
18,18,1,30cm,small,large,Right,Done,A,923,1421,2344,3765
19,19,1,30cm,large,small,Right,Done,B,1136,1420,2556,3976
20,20,1,30cm,small,small,Right,Done,C,809,1826,2635,4461
21,21,1,30cm,small,small,Right,Done,C,1009,2028,3037,5065
22,22,1,30cm,large,large,Right,Done,D,899,1823,2722,4545
23,23,1,30cm,small,large,Right,Done,A,859,1621,2480,4101
24,24,1,30cm,large,small,Right,Done,B,1601,1829,3430,5259
25,25,1,30cm,small,small,Right,Done,C,929,1626,2555,4181
26,26,1,30cm,large,large,Right,Done,D,1085,1620,2705,4325
27,27,1,30cm,small,large,Right,Done,A,1024,1621,2645,4266
28,28,1,30cm,large,small,Right,Done,B,898,2431,3329,5760
29,29,1,30cm,small,small,Right,Done,C,1017,1420,2437,3857
30,30,1,30cm,large,large,Right,Done,D,1010,1634,2644,4278
31,31,1,30cm,large,large,Right,Done,D,854,1627,2481,4108
32,32,1,30cm,small,large,Right,Done,A,1098,1623,2721,4344
33,33,1,30cm,large,small,Right,Done,B,855,1623,2478,4101
34,34,1,30cm,small,small,Right,Done,C,916,1420,2336,3756
35,35,1,30cm,large,large,Right,Done,D,1191,2225,3416,5641
36,36,1,30cm,small,large,Right,Done,A,1596,1624,3220,4844
37,37,1,30cm,large,small,Right,Done,B,1095,1822,2917,4739
38,38,1,30cm,small,small,Right,Done,C,992,2027,3019,5046
39,39,1,30cm,large,large,Right,Done,D,1079,2427,3506,5933
40,40,1,30cm,small,large,Right,Done,A,1235,1823,3058,4881
41,41,1,30cm,small,large,Left,Done,A,915,2230,3145,5375
42,42,1,30cm,large,small,Left,Done,B,1289,1619,2908,4527
43,43,1,30cm,small,small,Left,Done,C,962,2428,3390,5818
44,44,1,30cm,large,large,Left,Done,D,917,2023,2940,4963
45,45,1,30cm,small,large,Left,Done,A,920,2023,2943,4966
46,46,1,30cm,large,small,Left,Done,B,1137,2226,3363,5589
47,47,1,30cm,small,small,Left,Done,C,1130,2027,3157,5184
48,48,1,30cm,large,large,Left,Done,D,1206,2023,3229,5252
49,49,1,30cm,small,large,Left,Done,A,1204,2029,3233,5262
50,50,1,30cm,large,small,Left,Done,B,922,2228,3150,5378
